epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,2249.37,0.96493,0.31126,0.00098,0.92352,0.90976,0.94596,0.64931,1.19686,0.5455,0.00213,0.0004688,0.0004688,0.0004688
60,2287.46,0.94147,0.31819,0.00096,0.90096,0.91685,0.94567,0.64628,1.18977,0.55997,0.0021,0.0004424,0.0004424,0.0004424
61,2329.71,0.93854,0.31556,0.00093,0.92189,0.90117,0.94503,0.64371,1.21284,0.54971,0.00217,0.000416,0.000416,0.000416
62,2369.82,0.94168,0.31628,0.00095,0.922,0.91585,0.94693,0.64458,1.20278,0.53003,0.00214,0.0003896,0.0003896,0.0003896
63,2413.95,0.93273,0.30503,0.00092,0.92719,0.90955,0.94652,0.6583,1.14375,0.52873,0.002,0.0003632,0.0003632,0.0003632
64,2452.32,0.92656,0.30702,0.00095,0.90393,0.91194,0.944,0.65393,1.17062,0.56496,0.00206,0.0003368,0.0003368,0.0003368
65,2490.41,0.93623,0.31156,0.00092,0.92752,0.91404,0.94677,0.65912,1.16183,0.53228,0.00204,0.0003104,0.0003104,0.0003104
66,2528.34,0.91486,0.2983,0.00102,0.90903,0.91905,0.95168,0.64036,1.2134,0.56137,0.00217,0.000284,0.000284,0.000284
67,2566.5,0.87386,0.28119,0.00096,0.92788,0.89824,0.95161,0.65261,1.17088,0.55467,0.00205,0.0002576,0.0002576,0.0002576
68,2603.88,0.86688,0.27576,0.00096,0.92364,0.91781,0.95134,0.65937,1.16018,0.53546,0.00202,0.0002312,0.0002312,0.0002312
69,2641.94,0.87262,0.27906,0.00097,0.92282,0.91254,0.9461,0.65498,1.1748,0.53641,0.00205,0.0002048,0.0002048,0.0002048
70,2680.47,0.86958,0.27617,0.00096,0.91947,0.90499,0.95078,0.65101,1.18004,0.55493,0.00209,0.0001784,0.0001784,0.0001784
71,2717.92,0.8705,0.28074,0.00093,0.91822,0.91292,0.94461,0.65534,1.16614,0.55404,0.00206,0.000152,0.000152,0.000152
72,2755.7,0.86036,0.28401,0.00095,0.92274,0.90509,0.94558,0.65573,1.17343,0.54993,0.00208,0.0001256,0.0001256,0.0001256
73,2793.11,0.84955,0.27585,0.00095,0.92675,0.90368,0.94581,0.65595,1.16676,0.55269,0.00206,9.92e-05,9.92e-05,9.92e-05
74,2830.39,0.85466,0.27856,0.00093,0.92216,0.91194,0.95156,0.65624,1.16177,0.54698,0.00204,7.28e-05,7.28e-05,7.28e-05
75,2868,0.84078,0.26588,0.00092,0.9224,0.90721,0.94581,0.65565,1.1652,0.55428,0.00205,4.64e-05,4.64e-05,4.64e-05
